acc_acrossUser,alpha,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,comm_1,comm_2,comm_3,comm_4,comm_5,comm_6,difficult_1,difficult_2,difficult_3,difficult_4,difficult_5,difficult_6,ground_1,ground_2,ground_3,ground_4,ground_5,ground_6,id,multiple_user,voteHard_1,voteHard_2,voteHard_3,voteHard_4,voteHard_5,voteHard_6
"[24, 25, 30]",1,1,1,1,0,0,0,This video is in the first block,This video is in the first block,Walking style of the Damien,It is difficult to say,Walking style of the Damien,This chimpanzee is smaller than Damien,3,10,6,86,83,10,Yes,Yes,Yes,No,No,No,CCPL00001c,1,0,0,0,1,0,0
"[24, 25, 30]",0.685714286,1,1,1,0,1,0,NO,NO,NO,NO,NO,NO,78,75,11,87,79,91,Yes,Yes,Yes,No,No,No,CCPL00001c,1,0,0,0,1,0,0
"[24, 25, 30]",0.057142857,1,0,1,1,1,0,I FEEL EASY,I FEEL DIFFCULT,I FEEL EASY,I FEEL EASY,I FEEL DIFFICULT,I FEEL EASY,23,65,35,39,75,33,Yes,Yes,Yes,No,No,No,CCPL00001c,1,0,0,0,1,0,0
"[24, 25, 30]",0.685714286,1,1,1,0,1,0,conform to that it was Damien,same activities,same walk,it was not Damien different activities,same walk,face was different it not Damien,38,61,59,65,60,63,Yes,Yes,Yes,No,No,No,CCPL00001c,1,0,0,0,1,0,0
"[24, 25, 30]",1,1,1,1,0,0,0,This was easy because the video shows the chimpanzee in the exact location where Damien is and doing the exactly same thing that Damien is doing.,I think this is Damien because he is in a similar position as one of the videos where Damien was in.,I think this is Damien because the way and the pace of his walk is similar to one of the video that Damien appeared in.,This is hard to say for me because there are so many chimpanzee's walking that I can't really tell one from the other.,"This is difficult because the video quality is not very good, making it hard to see the chimpanzee. Also, you get a back view of the chimpanzees making it hard to distinguish their features.","I feel like it is easy because the chimpanzee is sitting next to a tree, only the videos that are not Damien show the chimpanzee sitting next to a tree.",25,18,8,100,100,23,Yes,Yes,Yes,No,No,No,CCPL00001c,1,0,0,0,1,0,0
"[10, 10, 18]",-0.222222222,0,0,0,1,1,1,it is easy i did not find any chimpensee,one animal backside only i saw.So i said no gube,It may be a chimpensee or bear. little difficulties,This picture look like chimpensee. so it easy,i feel easy beacuse i find it,the chimpensee is climbing  so i see it easy,23,29,49,29,25,26,Yes,Yes,No,No,Yes,No,CCPL00003p,1,1,0,0,0,0,0
"[10, 10, 18]",0.057142857,0,1,0,1,1,1,I feel easy because their is no moments in the video.,I feel easy because I can see one Gube in the video,I feel difficult because it's not seems to gube.,I feel easy because it's very close and clear,I feel easy because it is very clear to identify.,I feel difficult because I have somewhat doubt it seems to be Gube.,1,1,100,1,1,100,Yes,Yes,No,No,Yes,No,CCPL00003p,1,1,0,0,0,0,0
"[10, 10, 18]",0.685714286,0,1,0,0,1,0,In this video no animals appear.,"A little difficult because the animal is walking backwards, but from the way it walks, it appears to be Gube.","From the way he walks, he appears not to be Gube.","It is difficult to say if it is the Gube, due to the shape and size of the animal.","I believe it's Gube, because the animal's muscles are similar, but it's hard to say.",Made it easy to identify because the animal's face is evident.,50,60,61,67,39,18,Yes,Yes,No,No,Yes,No,CCPL00003p,1,1,0,0,0,0,0
"[9, 10, 18]",0.3125,1,0,0,1,0,0,Her size is visible.,It's quite grainy,There are two,The video is very clear.,It's really blurry and I can't tell.,There are two.,50,85,1,1,50,17,No,No,Yes,Yes,No,No,CCPL0000ak,1,0,0,0,0,1,0
"[9, 10, 18]",-0.375,1,1,1,1,1,1,The video was clear,The video was clear,The video was clear,The video was clear,The video was clear,The video was very clear,1,1,1,50,1,1,No,No,Yes,Yes,No,No,CCPL0000ak,1,0,0,0,0,1,0
"[9, 10, 18]",0.388888889,1,0,1,1,1,0,i feel easy yeeesha shown in video,i feel difficult to find yeesha in this video,i feel easy to find yeesha in this video,i feel easy to find yeesha in this video,i feel easy to find yeesha in this video,i feel difficult to find yeesha in this video,26,77,21,48,27,70,No,No,Yes,Yes,No,No,CCPL0000ak,1,0,0,0,0,1,0
