,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
0,CCPL00001c,0.35499278,0.351046555,0.378845376,0.376823296,0.374921858,0.346381972,0.341128173,0.394672864,0.375902842,0.262598717,0.382209204,0.378156413,0.394035818,0.395826043,0.396437072,0.367199362,0.345178733,0.382486894,0.393539795,0.272795818,0.390988927,0.398471851,0.398112829,0.398109669,0.376336758,0.341316086,0.391816419,0.395877585,0.279198935,0.401071892,0.746240132,0.707777755,0.378048127,0.34962146,0.413405119,0.628489838,0.263103846,0.816310332,0.776458,0.378091639,0.348624549,0.412249051,0.659165029,0.26446466,0.720531403,0.376975871,0.348964545,0.413053475,0.665564616,0.268610471,0.686932527,0.340523381,0.377295198,0.375761741,0.263075571,0.377666114,0.357031852,0.35241257,0.286897949,0.349130653,0.399540853,0.268350061,0.415222123,0.284375207,0.616569508,0.263733553
1,CCPL00001p,0.192317054,0.200640111,0.188928859,0.204953791,0.20442161,0.292536044,0.259795957,0.215377279,0.191270504,0.20038187,0.210526892,0.384048012,0.39440065,0.397686444,0.399022696,0.30662466,0.309929768,0.379343635,0.421208309,0.388056003,0.390585308,0.388933746,0.368796673,0.395532462,0.324604707,0.325020798,0.392601974,0.400919216,0.3937942,0.394068876,0.391164668,0.3934774,0.311961655,0.313453145,0.368616698,0.418776075,0.384273596,0.385273503,0.381558659,0.307135029,0.314388536,0.361694648,0.682511221,0.371868326,0.376370279,0.321204262,0.32009887,0.388005168,0.416773832,0.394058574,0.795817286,0.319203447,0.338720839,0.313264832,0.326730358,0.324521846,0.317213954,0.320159127,0.316138677,0.323221178,0.398285535,0.389703997,0.383982632,0.397296237,0.405398978,0.391765492
2,CCPL00002e,0.345210553,0.369257775,0.310611066,0.368661209,0.382897313,0.392112342,0.394277228,0.274539953,0.376870215,0.239275087,0.384522152,0.337870377,0.331875741,0.359192189,0.360651265,0.357110394,0.355349655,0.293598247,0.355369193,0.260247604,0.359586186,0.296777706,0.346353892,0.347971538,0.347853348,0.345344043,0.27509276,0.33812084,0.270729901,0.338553942,0.338127596,0.323613179,0.317295651,0.314524652,0.292251132,0.329781847,0.263459465,0.327788569,0.372643903,0.372806552,0.374586578,0.298537075,0.378681266,0.280054466,0.365725145,0.388634339,0.366053211,0.279984653,0.37776184,0.24829827,0.37670277,0.392833209,0.281855053,0.38687911,0.259648442,0.396552267,0.286546192,0.378049574,0.252616906,0.388475637,0.290644244,0.268645081,0.291028406,0.26122665,0.381719579,0.254013894
3,CCPL00002f,0.288183703,0.283000394,0.297302838,0.304992558,0.282216272,0.294082129,0.28685219,0.296450997,0.293055422,0.306258067,0.300894309,0.358584856,0.360609039,0.357184718,0.355532247,0.342730163,0.354008749,0.360267657,0.3531442,0.352819689,0.356878633,0.395585315,0.399499051,0.426286923,0.37269816,0.422231424,0.380359741,0.406696363,0.393153919,0.374550968,0.386826599,0.390675682,0.374127217,0.384260713,0.385028712,0.391468203,0.390092926,0.364914009,0.394952449,0.374519743,0.396126647,0.387108333,0.384760871,0.656873357,0.36208744,0.375159256,0.423652775,0.390661788,0.399080821,0.389835716,0.371894469,0.366551464,0.368312437,0.371553357,0.364475517,0.344206712,0.398060154,0.400945321,0.389555848,0.381008896,0.385534201,0.376494839,0.361225971,0.385895725,0.369569796,0.35350765
4,CCPL00002g,0.346761708,0.389981092,0.380137415,0.410914355,0.26749572,0.341030428,0.40230173,0.379856386,0.378176139,0.378606863,0.420486978,0.325303664,0.337838218,0.349578077,0.276675941,0.30895967,0.334009208,0.305386728,0.325265756,0.312804968,0.347659741,0.37949134,0.394424754,0.268320732,0.336160768,0.379920424,0.37321215,0.37260064,0.371212972,0.392708533,0.381924775,0.283848731,0.331797357,0.37192995,0.362755661,0.378610003,0.360264228,0.37784686,0.270025606,0.337282474,0.396470267,0.377617914,0.374403841,0.370189541,0.412577722,0.277932235,0.279806458,0.301254902,0.296852544,0.299115622,0.288650049,0.340131744,0.32602624,0.336427981,0.339491146,0.344225342,0.375170833,0.372014974,0.37292162,0.395412513,0.365139565,0.362661512,0.461918476,0.363353645,0.378819298,0.396341451
5,CCPL000037,0.302816295,0.2298343,0.381299554,0.387656179,0.403294618,0.3957853,0.402334723,0.279095944,0.377747147,0.387656179,0.395764563,0.276976392,0.31160135,0.303923772,0.312682682,0.313526541,0.299207497,0.313904223,0.307511581,0.303923772,0.316489415,0.251294885,0.254027835,0.25223611,0.248290025,0.2355608,0.295586871,0.266230355,0.254027835,0.262879035,0.368828463,0.385157553,0.379772269,0.365669899,0.284294353,0.369722799,0.368828463,0.381634614,0.386988581,0.556788063,0.381541292,0.294865089,0.372770588,1,0.39037723,0.390725577,0.392389128,0.294495427,0.38143954,0.386988581,0.404094792,0.383894219,0.300400992,0.375023292,0.556788063,0.391783839,0.276010123,0.374013912,0.381541292,0.395854777,0.296436831,0.294865089,0.299007484,0.372770588,0.637059419,0.39037723
6,CCPL000038,0.314135055,0.390989934,0.345649992,0.311245371,0.355998943,0.305178821,0.36156515,0.392555072,0.266197283,0.39889522,0.397335303,0.318849061,0.310622855,0.313915726,0.314217302,0.471121321,0.337960409,0.304836121,0.294106394,0.320709089,0.310214846,0.333934596,0.334707364,0.342650301,0.302797749,0.375922332,0.420880688,0.264880154,0.415615328,0.425328917,0.288368326,0.326261267,0.30564242,0.329403653,0.325449519,0.260383878,0.345714573,0.329085919,0.302852502,0.308566245,0.324728187,0.321764896,0.347604633,0.333780049,0.328061678,0.317840396,0.318038758,0.340346208,0.268999875,0.355688396,0.3447145,0.317401344,0.283707265,0.289113471,0.302505336,0.286590066,0.367871183,0.27739301,0.378608579,0.376788601,0.255406184,0.434475527,0.728631369,0.395291558,0.256111202,0.435530805
7,CCPL00003c,0.373164124,0.306443032,0.317146964,0.334053012,0.35449776,0.318569713,0.361113553,0.319499656,0.328453835,0.319499656,0.327486213,0.306733321,0.318396031,0.352257679,0.373481827,0.321208098,0.414369184,0.330471836,0.340706866,0.330471836,0.335726132,0.32168405,0.302433586,0.316865815,0.325958072,0.300062719,0.318329347,0.322189841,0.318329347,0.32667323,0.306938331,0.339891904,0.589736546,0.324089506,0.478108244,0.477827886,0.478108244,0.506870471,0.35167998,0.31085941,0.347454744,0.314416047,0.321146457,0.314416047,0.321199839,0.340958394,0.393112612,0.3704118,0.368304697,0.3704118,0.369410449,0.327731238,0.456304849,0.459277887,0.456304849,0.478478805,0.341156514,0.349048784,0.341156514,0.349408839,0.633856445,1,0.608373757,0.633856445,0.606894432,0.608373757
8,CCPL00003e,0.253710883,0.361801553,0.379509817,0.359847636,0.336752776,0.368895628,0.345364676,0.245559323,0.309429178,0.379413798,0.369397906,0.272236379,0.262156498,0.254388751,0.276707329,0.288004991,0.273901292,0.281279641,0.297848196,0.260294842,0.263146422,0.369942921,0.372861719,0.334863064,0.348438287,0.361067445,0.278980705,0.318727673,0.369140246,0.366112673,0.370987131,0.342621104,0.36327874,0.350712536,0.254654533,0.318227777,0.807180518,0.37710009,0.325543331,0.340871436,0.362283332,0.277317247,0.318193781,0.370672743,0.357589993,0.334472344,0.344559202,0.270109681,0.314027556,0.339680163,0.347965709,0.356851537,0.270350983,0.31248765,0.359079375,0.364070565,0.279896992,0.305376919,0.350908308,0.357360737,0.269809288,0.255447498,0.25511137,0.317922039,0.317144573,0.379422787
9,CCPL00003h,0.369422882,0.366595312,0.353822389,0.287941697,0.390444313,0.367142157,0.391587714,0.27775604,0.377009705,0.366696102,0.367142157,0.386325486,0.355076367,0.31323169,0.380527489,0.375761674,0.396144373,0.288824547,0.372954042,0.365238213,0.375761674,0.370689514,0.313328824,0.386714667,0.371586007,0.392818168,0.293083659,0.376935115,0.364532716,0.371586007,0.306299536,0.386922081,0.349116186,0.38962308,0.298458383,0.351813222,0.340074961,0.349116186,0.289390973,0.33282563,0.299891569,0.284900547,0.310977642,0.308278208,0.33282563,0.38486274,0.427624114,0.284295107,0.380961146,0.370552329,0.38486274,0.386026105,0.285118482,0.448602454,0.448149625,1,0.302445897,0.398779784,0.385238003,0.386026105,0.291219655,0.286564042,0.285118482,0.67493936,0.448602454,0.448149625
