,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
0,CCPL00001c,31.61113266,32.37921718,31.93718914,31.64801601,31.69144634,33.71730331,26.75316814,36.27698187,32.43042949,39.45998911,31.76723484,34.71640114,35.96798185,35.9049702,35.9244037,34.78403095,32.5935388,34.47015527,35.59396032,33.11592106,36.00376609,34.43949941,34.29554943,34.27475218,35.30897144,29.98278621,35.11569027,34.67035774,33.93919948,34.38775543,45.60496095,43.54742531,34.15310863,31.04619983,34.26341776,39.71474413,33.42818502,50.74996475,46.55776743,33.96989111,31.23335365,33.98014311,40.09461168,33.0980945,45.01696829,34.01339534,31.19449142,33.98624424,40.51723007,33.12931064,43.12380556,29.40553192,36.77592043,34.7545791,35.46895269,34.0583897,28.68701938,30.51080707,27.65244964,31.18974689,34.76797107,37.9276872,34.11571506,34.14631847,39.42847732,33.24179653
1,CCPL00001p,27.39187244,29.05751232,27.08268646,26.17711071,29.11837581,38.47595934,37.4265242,28.29741958,29.85907081,29.06800274,29.60413459,33.92109159,36.4627457,37.52793077,34.02069095,29.00935177,29.13368229,33.62056736,34.83200792,36.26116041,33.43918804,33.00286297,32.6295853,33.80316499,30.68627361,30.84815506,33.80279545,34.79545835,35.24467949,33.67078785,35.46100143,32.6706076,28.65918163,28.87840275,32.80775312,33.83644346,34.80353597,32.16518882,32.68298868,27.60205749,27.66273025,32.81559471,33.73945001,34.24837354,32.16737274,30.76583389,30.71784023,34.00953773,34.67943433,34.53083996,45.21958355,39.38823942,29.80751041,31.90677169,31.20137218,31.2234259,29.8888779,31.8590546,31.20707039,31.15463737,33.81082777,34.05452732,33.6666036,36.96417335,34.49496988,34.12809375
2,CCPL00002e,33.80936626,37.90691618,33.90833143,33.16343311,34.57705024,32.99020771,32.86440138,33.11214451,32.92552952,35.08772615,32.95357708,32.62451891,34.44225076,35.44610265,35.05818132,33.96438364,35.06824974,33.33917144,34.71225742,30.9089661,35.57886366,32.48169426,32.02892784,33.6023784,31.83203224,31.78259853,33.04266456,31.69326309,38.45565799,31.60007003,34.91940263,34.61780313,33.76324896,34.0710688,31.75919536,34.08418897,31.15217212,34.68692545,36.64426092,35.05807403,38.19258932,34.14928678,37.24778179,30.1996899,38.97201303,34.94608883,36.27782348,33.96800998,36.05112556,31.09303001,36.95352081,35.05274299,32.14043621,34.89473108,30.44191841,35.67996267,33.75566486,36.68995384,29.98011116,38.35438493,33.65501884,31.3768721,33.91983513,30.04528049,38.08078531,29.88972667
3,CCPL00002f,33.72425083,35.48507694,34.67600588,37.00971845,37.70741943,35.21684412,33.67327455,39.643302,35.85355762,36.5964723,34.81034044,33.4229875,36.52941469,34.71245531,33.6731625,33.80358223,33.89132503,34.52193502,32.93173317,35.2614427,38.65426782,34.41888336,35.01371387,35.34187797,34.64133743,33.2050753,35.61358217,34.69691757,35.08872274,34.3750811,35.86915497,34.98101238,35.44469122,34.39301256,35.79944376,33.98249391,36.52530197,37.30789426,36.31078485,35.26131157,34.52278618,37.75277141,34.71011404,42.98761371,35.81560138,35.91771606,33.4264088,37.85583023,36.23691086,36.04329351,34.92813114,32.89824966,36.07654575,35.3999472,35.28816703,34.44143299,34.35435537,32.2169638,34.64377407,35.02696518,35.81505064,37.38198045,35.77367786,34.6015859,33.81580833,36.39104131
4,CCPL00002g,30.21440986,33.12206987,34.39460996,35.15575889,31.24465469,36.45290855,33.67191795,33.35957292,35.35563472,35.94401125,35.97760442,30.9221125,31.74776081,31.46015648,39.5601559,30.27347091,30.39862159,31.51428703,30.41003231,30.98391536,31.80895809,34.03211836,35.43128971,32.04295639,34.4356418,33.60123161,35.10523084,34.50860027,33.88572935,35.01854185,35.68841222,32.90957931,34.87785104,33.73743776,34.8393536,36.28998521,35.5113459,36.04598287,32.69981388,37.22118381,35.67119363,36.38304475,36.98054079,35.98654512,37.68015627,31.31830696,31.49638656,32.945025,31.73610691,32.32701782,33.23942665,35.29949907,34.58853964,36.2868214,36.63274292,37.00023655,34.41668991,34.76645473,34.19310335,35.09572509,35.6681228,34.83502392,36.91747669,36.87558416,37.09569458,37.0410848
5,CCPL000037,33.05936102,29.83814243,35.82614187,37.08605293,35.0788999,36.3809872,35.51614288,31.44571785,35.69077972,37.08605293,35.56630377,26.58499721,34.28669933,34.05919555,32.8306413,36.25097517,33.66545204,27.64642242,33.8604832,34.05919555,35.48536066,28.19491867,29.5164347,30.45629028,27.94703964,28.8629866,41.61850933,29.08360962,29.5164347,28.37659362,36.7513657,33.44895366,38.12981847,35.22134784,29.46678642,36.07028488,36.7513657,36.44711736,35.18332485,39.73202947,36.11730341,30.99994186,36.37032751,inf,36.48968223,33.85874275,33.79081253,31.92222599,34.98466972,35.18332485,34.98657468,36.27785925,29.25269607,36.20056633,39.73202947,37.33887676,30.2229834,34.86039642,36.11730341,35.14760021,30.39023403,30.99994186,29.65062622,36.37032751,41.26628164,36.48968223
6,CCPL000038,36.32970575,35.18617872,34.77343086,33.20856098,29.44414619,35.14181141,36.31360296,35.69318775,32.79677633,35.28064254,35.54025654,32.62751821,33.25423006,38.5249329,27.35846523,35.14178995,39.08718828,32.82846216,37.70317081,32.54758838,32.88706545,32.22302917,29.88757137,32.38314632,35.68333868,33.23607448,35.92456344,29.56942085,35.53025011,35.53735498,31.95944313,28.24856762,31.69645313,33.6053038,33.13629631,31.63344864,32.80399564,33.16699508,25.68165306,31.6304684,35.59232715,30.36689762,48.7923241,30.26264194,30.4593182,29.64536194,27.8531504,31.17691997,25.49178127,31.203208,30.86090091,35.46806339,34.16803363,31.31091598,34.431994,33.92704252,33.28562978,35.05111698,33.14990524,33.34490064,30.0933266,35.32760147,43.84058241,30.08523945,30.18479828,34.98301271
7,CCPL00003c,35.11765484,31.70951847,35.16906503,36.15821842,33.08475975,35.13841633,34.55770734,36.6230059,36.62996772,36.6230059,35.17579082,34.98341087,37.7882934,32.53505233,34.92814544,37.59469513,35.59616569,36.0105038,36.70546774,36.0105038,37.77833942,35.5064154,29.41144947,34.15196184,35.33969406,33.56636289,32.72633794,33.03954128,32.72633794,34.9743915,33.13107256,36.11621383,45.27267698,37.22682003,39.12711385,40.57044986,39.12711385,43.91199354,31.89592842,33.18074945,33.04223064,35.05442623,35.88125709,35.05442623,33.56077198,35.92619661,34.7601724,35.71695331,35.5157328,35.71695331,36.44677166,37.0291138,39.11591295,40.64610485,39.11591295,43.74306682,36.68715242,37.30608705,36.68715242,37.65897754,42.84137253,inf,40.76509241,42.84137253,43.25890068,40.76509241
8,CCPL00003e,29.19547085,34.40449241,34.90076545,33.23628906,33.73933796,29.49006084,33.85608438,31.82300094,30.97165588,35.08965973,34.16196827,28.98635868,30.17353061,26.97475437,28.89862541,42.31380943,29.78350643,25.90080265,25.31148914,29.67802051,29.84107498,36.67548183,35.77862743,35.67155126,29.35619358,35.33999923,33.61017708,32.62069467,37.28905443,36.04031566,34.15271286,35.48374656,30.52260402,35.69284919,32.05602649,31.27900604,49.49126962,36.58195976,34.73048452,27.24301342,33.91304258,38.23485616,36.50413278,34.97848037,33.62224821,29.11749366,36.24070648,32.63994459,32.23433498,35.82210067,34.70145467,30.03649238,26.11259941,25.51813129,30.00992778,30.15434745,31.61618713,31.22773651,35.83162311,34.4424105,37.84088854,32.7327371,31.93364624,31.97597507,31.12939838,36.73377279
9,CCPL00003h,34.80146173,33.91913418,37.26728204,35.74530128,39.24021724,34.31123737,35.12222055,35.29288534,34.34631351,34.67520002,34.31123737,34.2080665,32.18138221,33.58829979,34.81228594,33.77774481,34.66015819,31.04841236,33.52441076,33.45056537,33.77774481,31.19180683,34.05938867,34.10635236,34.11499981,34.94118217,30.23261074,34.18542389,34.04381517,34.11499981,32.99795393,35.93988422,31.45000938,31.8855429,40.79603914,31.58471588,31.5646458,31.45000938,35.28735641,33.72782234,34.48796037,31.87237743,34.7818971,34.64909557,33.72782234,34.5378733,35.39201978,34.19347528,34.34688333,34.67028383,34.5378733,34.87611059,30.47862056,34.93338588,35.85086826,inf,30.86930278,34.650569,35.30108455,34.87611059,30.66669468,30.75065139,30.47862056,39.18482069,34.93338588,35.85086826
