,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
0,CCPL00001c,0.026268989,0.024045795,0.025301171,0.026157675,0.02602721,0.020612698,0.045955937,0.0153515,0.023904435,0.010641444,0.025801102,0.018372996,0.015907461,0.016023284,0.015987474,0.018230496,0.023459733,0.018901324,0.016607411,0.022090415,0.015842061,0.018968152,0.019285129,0.019331358,0.017161349,0.031685505,0.017547509,0.018470647,0.020092782,0.019081486,0.005245078,0.006647047,0.019603994,0.028034324,0.019356601,0.010333866,0.021310359,0.002900693,0.004700149,0.020021904,0.027436731,0.01999829,0.009891666,0.0221358,0.005612439,0.019921873,0.027559767,0.019984249,0.009421899,0.022056391,0.006979266,0.033862848,0.014494524,0.018292412,0.016848158,0.019818943,0.036783166,0.0298167,0.041435972,0.027574817,0.01826423,0.012694504,0.019688576,0.019619325,0.01068012,0.021772593
1,CCPL00001p,0.042697892,0.035247177,0.044245157,0.049107123,0.035001062,0.011917964,0.0134485,0.038470604,0.032140046,0.035204642,0.033097357,0.020134714,0.015026671,0.013292399,0.01990515,0.035443157,0.034939442,0.020843549,0.018130075,0.015379491,0.021283379,0.022379832,0.023362577,0.020409938,0.029220408,0.028680874,0.020410808,0.018206529,0.017288849,0.02072338,0.016863585,0.023252496,0.036901239,0.035981555,0.022888236,0.020331893,0.018189602,0.024645666,0.023219377,0.041677073,0.041386966,0.022867585,0.020560207,0.01939016,0.024639465,0.028953983,0.029114416,0.019930724,0.018451355,0.01876973,0.005483033,0.010729712,0.032331392,0.025389919,0.027537936,0.0274681,0.032029942,0.025529785,0.02751988,0.027686501,0.020391947,0.019827761,0.020733368,0.014183759,0.018847404,0.019660534
2,CCPL00002e,0.020395374,0.012724895,0.020164313,0.021969913,0.018670136,0.022412464,0.02273945,0.022100022,0.022579977,0.017604092,0.022507183,0.023376206,0.018962145,0.016892537,0.017664077,0.020034609,0.017643614,0.02152987,0.018381761,0.02848077,0.016636303,0.023763767,0.025035346,0.020887243,0.02560935,0.02575551,0.022277514,0.026021764,0.011945851,0.026302466,0.017948572,0.018582743,0.020503949,0.019790033,0.025824992,0.019760164,0.027694359,0.018435452,0.014715905,0.017664297,0.01231319,0.01961262,0.013728115,0.030904068,0.011256396,0.017893512,0.015350013,0.020026248,0.015755918,0.027883569,0.014201167,0.017675141,0.024716005,0.017999627,0.030054115,0.016443787,0.020521864,0.014638693,0.031695269,0.012085948,0.020761037,0.026987106,0.020137627,0.031458352,0.012472709,0.032026805
3,CCPL00002f,0.020596219,0.016816908,0.01845864,0.014109578,0.013020542,0.017344341,0.020717451,0.010419212,0.016118407,0.014797091,0.01817536,0.021323113,0.014911772,0.018381342,0.020717716,0.02040896,0.020203833,0.018788986,0.02256386,0.017255511,0.011675798,0.019013226,0.017754743,0.017096454,0.018532461,0.021864837,0.016569937,0.018414253,0.017602077,0.019109352,0.01608949,0.017821711,0.016895279,0.019069944,0.016219137,0.019992881,0.014918837,0.013633435,0.015291876,0.017255772,0.018787142,0.012952733,0.018386299,0.007089561,0.016189,0.015999787,0.021314716,0.012799955,0.015422489,0.015770134,0.017930543,0.022651007,0.015709875,0.016982539,0.017202506,0.018963927,0.019155003,0.024499195,0.018527268,0.017727677,0.016190022,0.013517645,0.016267326,0.018617474,0.020380253,0.015151232
4,CCPL00002g,0.030851716,0.022074789,0.019066432,0.017466748,0.027401051,0.015043695,0.020720685,0.021479361,0.017069403,0.015951423,0.015889848,0.028437691,0.025859019,0.026729578,0.010519429,0.030642657,0.030204318,0.026563531,0.030164665,0.028236076,0.025677467,0.01987898,0.016921369,0.024994941,0.018976577,0.020889997,0.017568653,0.018817853,0.020216851,0.017744871,0.016427798,0.022621477,0.018034639,0.020564971,0.018114747,0.015328539,0.016766125,0.01576525,0.023174444,0.013770215,0.016460398,0.015165187,0.014157056,0.015873501,0.013061474,0.027169695,0.026618324,0.022529351,0.025893727,0.024190737,0.021778533,0.017180074,0.018645458,0.015334125,0.014735434,0.01412499,0.019018028,0.018267421,0.019513935,0.017587891,0.016466217,0.018123781,0.014260218,0.014329162,0.013970609,0.014058719
5,CCPL000037,0.02223473,0.032217577,0.016169362,0.013986121,0.017621994,0.015168779,0.016756868,0.026774054,0.016423324,0.013986121,0.016660377,0.046854373,0.019304784,0.019817108,0.022828003,0.015397537,0.020736113,0.041464727,0.020275699,0.019817108,0.016816359,0.038927279,0.033433225,0.030004432,0.040054187,0.036045462,0.008299932,0.035141427,0.033433225,0.038121529,0.014535558,0.021259464,0.012402498,0.017335353,0.033624873,0.015721204,0.014535558,0.01505373,0.017411401,0.01031332,0.01563633,0.028184012,0.015187406,0,0.014980138,0.020279761,0.020438986,0.025344795,0.017814208,0.017411401,0.017810302,0.015349955,0.034463961,0.015487156,0.01031332,0.013584892,0.030821299,0.018070914,0.01563633,0.017483162,0.030233497,0.028184012,0.03292067,0.015187406,0.008643427,0.014980138
6,CCPL000038,0.0152586,0.017405681,0.01825276,0.021856068,0.033712629,0.017494822,0.015286914,0.01641877,0.022917181,0.017217414,0.016710412,0.023368135,0.021741448,0.011850957,0.042862426,0.017494863,0.011108122,0.022833729,0.013026912,0.02358417,0.022680191,0.024482092,0.032034751,0.024034923,0.016437398,0.021786941,0.01598718,0.033229899,0.016729677,0.016715998,0.02523643,0.038687576,0.026012219,0.020880213,0.022038659,0.026201582,0.022898138,0.021960905,0.051989693,0.026210574,0.016610537,0.030314835,0.00363399,0.030680893,0.029993974,0.032940622,0.040489506,0.027615571,0.053138692,0.027532121,0.028638816,0.016849881,0.019570336,0.027192814,0.018984551,0.020120924,0.021662993,0.017678445,0.022004155,0.021515673,0.031284824,0.017124578,0.006426448,0.031313952,0.030957082,0.017817605
7,CCPL00003c,0.017543543,0.025973117,0.01744001,0.015562847,0.022169814,0.01750166,0.018711761,0.014751962,0.01474014,0.014751962,0.017426515,0.017816791,0.012899871,0.023618234,0.017930511,0.013190623,0.016603198,0.015829781,0.014612569,0.015829781,0.012914662,0.016775649,0.033839785,0.019606585,0.017100755,0.020974031,0.023103787,0.022285528,0.023103787,0.0178353,0.022051923,0.015638292,0.005449621,0.013761287,0.011057179,0.009364347,0.011057179,0.006373828,0.025421644,0.021926155,0.022278627,0.017671712,0.016067088,0.017671712,0.020987535,0.015984172,0.01828064,0.016373908,0.01675766,0.016373908,0.015054329,0.014078108,0.011071447,0.009283137,0.011071447,0.006499002,0.014643416,0.013636273,0.014643416,0.013093363,0.007209936,0,0.009156834,0.007209936,0.006871555,0.009156834
8,CCPL00003e,0.034691766,0.019044755,0.017987125,0.021786401,0.020560475,0.033534892,0.020285973,0.025635989,0.028275946,0.017600177,0.019584009,0.035537105,0.030997276,0.044798374,0.035897881,0.007661426,0.032420877,0.050694376,0.054253224,0.032817017,0.032206696,0.014663103,0.016258057,0.01645972,0.034055747,0.017100155,0.020868501,0.023386501,0.01366304,0.015775541,0.01960489,0.016819485,0.029776232,0.016419409,0.024957366,0.027292913,0.003353023,0.014821835,0.018343229,0.043435942,0.020153381,0.012253416,0.01495524,0.017826904,0.020839514,0.035004605,0.015415753,0.023334734,0.024450252,0.016176887,0.018404637,0.031490207,0.049473215,0.052977752,0.031586647,0.031065801,0.026253702,0.027454473,0.016159164,0.018961797,0.012821994,0.023086766,0.025311491,0.025188437,0.027767072,0.014565031
9,CCPL00003h,0.018193949,0.020139249,0.013697329,0.016320556,0.010914129,0.019250328,0.017534323,0.017193161,0.019172747,0.018460352,0.019250328,0.019480348,0.024599761,0.020921132,0.018171286,0.020469764,0.018492354,0.028027171,0.021075577,0.021255521,0.020469764,0.027568286,0.019816667,0.019709805,0.019690197,0.017903624,0.030787149,0.019531192,0.019852228,0.019690197,0.022392489,0.015959004,0.026760826,0.025452053,0.009124268,0.026349014,0.026409961,0.026760826,0.017204108,0.02058775,0.018862616,0.025490666,0.018234972,0.018515917,0.02058775,0.01875454,0.016998047,0.019513099,0.019171488,0.018470801,0.01875454,0.018038254,0.029927397,0.017919701,0.016123399,0,0.028611118,0.018512774,0.017176939,0.018038254,0.02928636,0.029004632,0.029927397,0.01098396,0.017919701,0.016123399
