,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
0,CCPL00001c,38.14760869,38.54814271,38.30000407,38.11343303,38.13561471,39.32601923,35.21952744,40.5073243,38.85930462,41.6064641,38.21005791,47.58153135,48.19061822,48.16128918,48.1693008,47.57249377,46.51699276,47.46390444,47.98270994,46.73734922,48.20945347,45.44126379,45.36804889,45.35784788,45.86894917,43.20333929,45.80229945,45.559171,45.18291368,45.41549075,52.19766924,51.17381473,46.47673079,44.9255411,46.5584682,49.25333524,46.10893278,54.77062376,52.93090082,46.62750453,45.2611935,46.65685202,49.68427215,46.18560942,52.14563223,46.60639758,45.19978729,46.6178369,49.85372368,46.15915586,51.16232501,41.80884257,45.46480451,44.46296211,44.80596177,44.1283111,48.71431626,49.61537406,48.18341091,49.95532923,43.02806008,44.48079269,42.66038873,45.78009902,48.42158567,39.26391953
1,CCPL00001p,49.11062786,49.9471866,48.95355392,48.60157631,49.97077247,54.64985938,54.12909652,49.56959044,50.34506264,49.95486363,50.23588813,42.66759908,43.91881109,44.77603525,42.71866553,40.20297142,40.26262332,42.56709503,43.18480727,43.90750985,42.3950782,45.70357868,45.78830968,46.11776531,44.56066164,44.64250951,46.14589774,46.63888508,46.82541384,46.05589817,43.44173637,41.92520551,39.89552357,40.00424974,42.01275225,42.5378099,43.02326801,41.64656314,40.2741072,37.47704049,37.50073456,40.36245191,41.85223779,41.75040204,39.71274141,44.51606959,44.49152376,46.14790708,46.47769721,46.39506579,51.95599328,53.85663002,49.06256078,50.10634241,49.76323825,49.78464349,49.02008752,50.00003419,49.68137689,49.66701592,45.24047124,45.34679491,45.1142984,48.1814915,46.94030039,45.60568935
2,CCPL00002e,40.68635924,42.47656798,40.71406035,40.52259299,40.54789671,40.22588341,40.21956631,40.33665895,40.41058679,40.63243186,40.48208432,44.69359658,45.32619025,45.82717263,45.62464353,45.08235067,45.63180492,44.7951723,45.47041642,43.55499298,45.895059,37.70771687,37.95143666,37.37285062,37.48113711,37.52991749,38.37854369,37.72461559,38.6290428,37.79449641,45.12432906,44.99410496,44.54872096,44.70766782,43.57047119,44.72122948,43.24389408,45.01593567,47.98707722,47.11965704,48.69466939,46.7171711,48.22708756,44.69660063,49.0865237,45.8522291,46.84751769,45.40637759,46.61834946,43.86438023,47.36322396,45.96025766,44.51360255,45.87756689,43.65832015,46.27085682,46.55632523,48.006483,44.64115485,48.84835422,43.9955711,42.81691769,44.15237658,44.52932746,48.54729665,22.23528633
3,CCPL00002f,47.05174836,47.91975261,47.51340867,48.68013168,49.02736585,47.83059238,47.01238007,49.99166785,48.10232567,48.47010034,47.58238139,41.1855726,42.66524751,41.76529619,41.19680774,41.39579781,41.32007217,41.6759341,40.79371474,42.08723359,43.7018872,45.96968591,46.28507834,46.42899035,46.10520395,45.35837315,46.57475377,46.10821011,46.31762271,45.98375228,44.27810701,43.86124943,44.07143598,43.54040049,44.24514954,43.37297236,44.6040083,45.0029783,47.13639836,46.69748119,46.2288,47.86946316,46.32561532,50.47731798,46.89029301,47.84624486,46.53349115,48.78534289,47.95274393,47.84442927,47.29232214,45.42685197,47.10143017,46.66907847,46.68061111,46.27046956,44.29345999,43.24194871,44.42688808,44.61693379,47.47499634,48.25387764,47.46823314,46.83819957,46.43818218,46.57302909
4,CCPL00002g,44.48299193,45.972564,46.57752037,46.96834032,45.32441268,47.60705368,46.2360033,46.09579941,47.08940124,47.36884649,47.37452701,25.34293488,25.72143966,25.59073107,32.00768173,24.95295523,25.09768903,25.6325833,25.05737774,25.34029733,25.79965914,45.10303053,45.8056535,44.37214128,45.39574418,44.89255548,45.63283844,45.35604372,45.04497078,45.60983615,45.44108883,44.4073057,45.04084732,44.46102045,45.03050948,45.74405717,45.34602754,45.61466601,45.15534483,47.02089531,46.20262212,46.57218805,46.85887706,46.3643915,47.21407866,36.98684563,36.48911408,37.62714988,37.07744497,37.43762538,38.09650767,47.39946157,47.08231073,47.89235069,48.03773836,48.24477396,45.95405364,46.14386007,45.85087703,46.29573687,45.52520598,45.11117493,46.18279875,47.88663723,47.99966125,47.27115045
5,CCPL000037,45.79850718,44.18668945,47.18201492,47.83415535,46.85597371,47.46882677,47.02935186,44.99101883,47.1142451,47.83415535,47.04956645,36.41156803,40.27489976,40.16370864,39.53874055,41.27268091,39.95813046,36.94228147,40.06693267,40.16370864,40.88462364,49.36818879,50.02421333,50.50637574,49.23873326,49.69757911,56.07345343,49.81029982,50.02421333,49.45521068,45.46533778,43.79807183,46.13846922,44.71009948,41.83897489,45.11408738,45.46533778,45.30006646,46.40975776,48.61882262,46.80867339,44.2521639,46.94407088,inf,46.99700342,47.14875547,47.12738921,46.1707636,47.68659314,47.85190658,47.66900978,44.32997329,40.8218333,44.30645408,46.06441392,44.88683699,43.36708269,45.68448747,46.31400507,45.82592304,49.54857826,49.85052748,49.17659006,46.7189586,49.16757207,46.99700342
6,CCPL000038,44.78598517,44.2131305,44.04581262,43.2399164,41.3451115,44.19469186,44.90816981,44.46845152,43.03097385,44.26414944,44.39143421,37.66050826,37.97959318,40.63897358,35.02609488,38.99893523,40.99637064,37.7627283,40.21187308,37.62254902,37.78935966,46.11100484,44.92696648,46.16799921,47.93782655,46.79757328,47.94641093,44.76589368,47.7477621,47.75491943,42.1185,40.31403004,42.02741507,43.05682527,42.76614336,41.95611981,42.60312767,42.77583039,22.05045235,25.4068958,28.11265302,24.44916218,33.03205124,24.38826461,24.52141915,49.13985512,48.25592518,49.83825859,46.99599841,49.85083688,49.68259632,45.18845699,44.59081688,42.97886384,44.72186584,44.4567131,40.96710256,41.03789111,40.84781316,40.95536399,44.27306016,46.89335594,51.1714243,20.79409281,20.86571275,46.74678539
7,CCPL00003c,43.343696,41.61377903,43.38228931,43.79349056,42.21139724,43.35750851,43.02536806,43.97251679,44.03982307,43.97251679,43.34494672,46.76425241,48.1398114,45.56076593,46.71125193,48.04393393,47.04304571,47.38259107,47.60371703,47.38259107,48.13568113,50.05738072,47.04761902,49.47695901,49.9741136,49.08761083,49.02973962,48.82508299,49.02973962,49.79083913,45.69848375,47.12403048,51.70569503,47.68297628,49.30231017,49.35562064,49.30231017,51.02045779,36.82452802,37.15982003,37.02520436,39.56661541,38.53837925,39.56661541,37.3682745,47.3882245,46.80186173,47.48351196,47.14209747,47.48351196,47.65128297,47.46374208,49.14368594,49.27198179,49.14368594,50.82208988,46.86793314,47.12220641,46.86793314,47.30012717,48.45235624,inf,49.37847035,48.68317372,48.48042738,49.37847035
8,CCPL00003e,42.67547827,45.2756948,45.5409779,44.94121362,44.93145995,42.8230249,45.01164644,44.17235103,43.53448832,45.62838606,45.16378228,49.23256095,49.82659534,48.34669175,49.19341927,55.95093013,49.62930842,47.76083107,47.39703742,49.57741503,49.66216544,45.47896145,45.33232941,44.95425943,41.80307209,44.79150274,44.20386004,43.441909,45.78020489,45.15514107,46.12989704,46.349206,43.87706167,46.45298642,44.9105489,44.25596411,53.34935346,46.90053683,41.09399331,37.26757307,40.99579153,42.15481386,40.79727177,41.97426151,40.91301345,41.63498513,45.18078472,43.48166664,43.18297377,44.96619012,44.4096832,49.56963628,47.6842501,47.31443905,49.55732521,49.63260357,44.26942114,43.91442042,46.20838372,45.51595327,37.31746287,36.91661162,36.32726736,27.09465449,26.66287936,46.30024924
9,CCPL00003h,41.78006549,41.32373323,43.08708287,42.22062179,43.97189133,41.5828452,41.94219663,42.00415477,41.5319995,41.91299879,41.5828452,44.97906322,43.98883434,44.66963953,45.28693346,44.7695234,45.20749665,43.40060297,44.63473128,44.61320667,44.7695234,44.64063764,46.05305636,46.0967151,46.14127524,46.52352871,44.14383419,46.13102442,46.09332523,46.14127524,34.65299639,36.37785059,34.44369656,34.44696115,37.94826673,33.90573886,34.80764829,34.44369656,45.08670326,44.32323154,44.70737041,43.38898399,44.83743524,44.83351551,44.32323154,42.69791043,43.10561213,42.51860932,42.60183863,42.82381204,42.69791043,46.20257847,43.64262624,46.10973656,46.76772045,inf,43.97228065,45.95129154,46.35566621,46.16091252,27.11007874,28.06899314,27.5595963,48.11630946,45.95904161,46.74137408
