,id,n1_n2,n1_n3,n1_t1,n1_t2,n1_t3,n1_t4,n1_t5,n1_t6,n1_y1,n1_y2,n1_y3,n2_n3,n2_t1,n2_t2,n2_t3,n2_t4,n2_t5,n2_t6,n2_y1,n2_y2,n2_y3,n3_t1,n3_t2,n3_t3,n3_t4,n3_t5,n3_t6,n3_y1,n3_y2,n3_y3,t1_t2,t1_t3,t1_t4,t1_t5,t1_t6,t1_y1,t1_y2,t1_y3,t2_t3,t2_t4,t2_t5,t2_t6,t2_y1,t2_y2,t2_y3,t3_t4,t3_t5,t3_t6,t3_y1,t3_y2,t3_y3,t4_t5,t4_t6,t4_y1,t4_y2,t4_y3,t5_t6,t5_y1,t5_y2,t5_y3,t6_y1,t6_y2,t6_y3,y1_y2,y1_y3,y2_y3
0,CCPL00001c,0.506580129,0.576177937,0.512760913,0.502107483,0.504398295,0.625951851,0.347887037,0.689797173,0.542459782,0.78337201,0.506221692,0.778490528,0.830992669,0.82983476,0.830297978,0.800671604,0.83710609,0.770171565,0.816011973,0.686037,0.832819499,0.75274848,0.747784431,0.747603743,0.797808627,0.664706724,0.773694698,0.76425742,0.732026548,0.751406802,0.9777954,0.96567772,0.762965046,0.74303499,0.748254998,0.924362484,0.690371335,0.992554357,0.983249175,0.757038912,0.750543529,0.739756628,0.934453069,0.678269239,0.974147715,0.759037995,0.748310835,0.740384373,0.940321338,0.680408086,0.96181119,0.650479858,0.838864785,0.784123917,0.804655357,0.760160945,0.587357167,0.710514007,0.483862791,0.749775567,0.764799256,0.834498506,0.74405892,0.72471678,0.919913441,0.683094581
1,CCPL00001p,0.54739759,0.671274503,0.497899441,0.399731955,0.685158526,0.962184978,0.953595285,0.610396485,0.737384801,0.701175234,0.717460564,0.766543181,0.811406402,0.779048441,0.756747639,0.605502743,0.617374687,0.713509337,0.787368296,0.828572464,0.746389034,0.707807463,0.650490845,0.759088773,0.70951397,0.723763228,0.722665517,0.79572357,0.814858006,0.760821588,0.746458391,0.680341864,0.545936074,0.559905443,0.669947439,0.720576389,0.753245878,0.664170944,0.641172208,0.447494674,0.457871992,0.661540322,0.667315158,0.675199074,0.631769087,0.7253039,0.730820716,0.73640569,0.78795622,0.787809415,0.975045647,0.951190055,0.648693087,0.782696837,0.759963359,0.75282543,0.653608749,0.788222128,0.765158795,0.757726748,0.722684307,0.7394383,0.727629971,0.86063192,0.791751592,0.786439646
2,CCPL00002e,0.698711081,0.754087096,0.746093507,0.653668449,0.701693423,0.668306489,0.636816676,0.723948548,0.649983333,0.477098575,0.636797815,0.564242941,0.803137964,0.815598654,0.795629086,0.755870091,0.791487685,0.751773057,0.795277422,0.281030742,0.819391921,0.601369906,0.496037705,0.558842803,0.528433949,0.483974774,0.638555777,0.494433884,0.684304982,0.480174368,0.820723758,0.801909988,0.783629347,0.780222842,0.69827607,0.797114991,0.335201785,0.813702572,0.851050896,0.796809217,0.884767354,0.761260081,0.878999102,0.198371034,0.91595243,0.78030808,0.82770719,0.756464319,0.832978498,0.261774219,0.855714486,0.782477959,0.682387542,0.788064803,0.263354342,0.807133937,0.740530069,0.85141174,0.196807155,0.889095305,0.742972234,0.350086793,0.749139127,0.205290444,0.893720051,0.184061118
3,CCPL00002f,0.73138222,0.821861708,0.804898275,0.888544836,0.892846022,0.857312363,0.731480161,0.933571745,0.847827892,0.875330289,0.804908335,0.688566724,0.801945849,0.746231008,0.694291062,0.741670896,0.709432631,0.736384486,0.684401862,0.764747292,0.857910117,0.749755584,0.791163866,0.787867961,0.785733785,0.684356289,0.809709887,0.766158907,0.789122707,0.745367177,0.812544599,0.774268265,0.813926902,0.733596591,0.814098819,0.751157799,0.831593977,0.832010775,0.843024331,0.837917667,0.74760855,0.885306746,0.800547969,0.959430403,0.815574381,0.838338542,0.701169569,0.881447281,0.823576555,0.830004866,0.775102128,0.708287088,0.858540769,0.821574689,0.833221347,0.80093925,0.742683543,0.658438613,0.750855583,0.769932866,0.834767664,0.872901592,0.81108784,0.793260653,0.754231697,0.828281062
4,CCPL00002g,0.257940003,0.696883926,0.769344101,0.798702549,0.451006735,0.845102692,0.730949541,0.724504618,0.817076136,0.820799113,0.817314361,0.325233727,0.347448065,0.292992562,0.731086266,0.252694825,0.315680661,0.352924394,0.264511439,0.287126414,0.294853067,0.751412897,0.782743613,0.504320003,0.764834308,0.725365423,0.781250782,0.761537764,0.739274079,0.768786773,0.825680594,0.531683569,0.813090519,0.760818482,0.798755272,0.842774341,0.821393121,0.827588918,0.492816299,0.875193345,0.810261773,0.822675411,0.864251506,0.838313428,0.864976247,0.457918824,0.497008987,0.544809278,0.46144681,0.488541512,0.501636403,0.80132813,0.787988549,0.867347575,0.86475506,0.868683064,0.771642005,0.788817879,0.767026121,0.787860343,0.80992872,0.789162444,0.852773105,0.869454745,0.865348817,0.856774011
5,CCPL000037,0.670230324,0.733231274,0.816536928,0.858378899,0.827840974,0.836629171,0.786344311,0.775934489,0.816608877,0.858378899,0.80683812,0.450155302,0.748857418,0.705370207,0.667985291,0.785776488,0.665813503,0.488597996,0.716638241,0.705370207,0.762994798,0.612841052,0.721595311,0.775852925,0.603057572,0.638226655,0.981976209,0.678050765,0.721595311,0.62799758,0.84850848,0.772315233,0.888472624,0.783281189,0.656347409,0.823797241,0.84850848,0.831567392,0.833931376,0.920333525,0.804840816,0.76341591,0.837276264,1,0.832118899,0.790067522,0.758694873,0.810088121,0.817475326,0.833931376,0.810082354,0.811873583,0.649410999,0.835128313,0.920333525,0.850922058,0.679296496,0.767233939,0.804840816,0.768016943,0.718857711,0.76341591,0.673289803,0.837276264,0.949078512,0.832118899
6,CCPL000038,0.761642022,0.807310949,0.743540915,0.359890359,0.660697252,0.808137219,0.771894693,0.79507625,0.274396525,0.79981326,0.787330678,0.612988355,0.683480392,0.652944854,0.433894686,0.823884465,0.851269302,0.615960438,0.55949845,0.622149843,0.618167407,0.638492482,0.224616856,0.818534848,0.797405605,0.662841264,0.814590733,0.163801017,0.810216862,0.800571684,0.453435132,0.527191159,0.638676305,0.713893647,0.655527408,0.37282135,0.659953211,0.652912321,0.130031667,0.415956018,0.538346748,0.245897642,0.956313629,0.252852622,0.250372095,0.663477372,0.490342619,0.74438377,0.086296313,0.741214612,0.723827627,0.829011405,0.747479343,0.336721005,0.762701358,0.735917084,0.651421656,0.453080919,0.666744043,0.651409059,0.176576238,0.785402344,0.965903313,0.182642958,0.181304253,0.771161436
7,CCPL00003c,0.783988365,0.707057257,0.797287047,0.733628643,0.745870745,0.799350989,0.754131875,0.827785571,0.822945225,0.827785571,0.806118552,0.841814917,0.875404459,0.588363271,0.80935761,0.870551894,0.799525029,0.822292638,0.844118623,0.822292638,0.878451974,0.87019626,0.460704369,0.81818667,0.863330676,0.78462165,0.758365064,0.775680077,0.758365064,0.856613417,0.623017227,0.859441186,0.973529135,0.846078008,0.903659575,0.930406052,0.903659575,0.965830709,0.611877554,0.632121045,0.601943388,0.731124174,0.736133356,0.731124174,0.651077491,0.856733671,0.794886676,0.854639985,0.849001413,0.854639985,0.872286949,0.844351476,0.906096907,0.933599504,0.906096907,0.963926083,0.823619926,0.841480158,0.823619926,0.856660556,0.952327134,1,0.932302544,0.952327134,0.963109272,0.932302544
8,CCPL00003e,0.624646321,0.77016502,0.768496727,0.663409138,0.740709002,0.633685745,0.742906435,0.464679563,0.336661651,0.775342212,0.741924426,0.655837484,0.727642527,0.425917371,0.626022374,0.970450975,0.692082373,0.252612475,0.132780954,0.697788791,0.696414911,0.86028997,0.750603801,0.846416309,0.666335597,0.833690261,0.508822503,0.371620171,0.873374875,0.839356434,0.675783214,0.818596015,0.73708749,0.830595686,0.441464069,0.300026464,0.991595296,0.843031328,0.723431553,0.433586995,0.696120937,0.741230744,0.604133187,0.702505551,0.668056697,0.629548908,0.822040866,0.504316176,0.391144499,0.830224168,0.794782845,0.698710841,0.257550473,0.135936869,0.70737159,0.705124187,0.467641232,0.334266436,0.835536931,0.789188885,0.686853201,0.465469778,0.447278956,0.32520204,0.312685524,0.847168945
9,CCPL00003h,0.783628325,0.751471044,0.713380361,0.850944593,0.878845326,0.759074834,0.771468504,0.47218097,0.752004154,0.778552431,0.759074834,0.747810216,0.555019541,0.768781083,0.779956607,0.727586865,0.751984213,0.345725027,0.712863082,0.71190814,0.727586865,0.499093909,0.781870709,0.754857342,0.740688718,0.771470297,0.304929111,0.74666884,0.739101113,0.740688718,0.618969031,0.653221995,0.531067878,0.514330169,0.784937981,0.509879884,0.539868194,0.531067878,0.828977253,0.748556548,0.787255241,0.387777204,0.788106188,0.776871317,0.748556548,0.770033462,0.78385009,0.415867427,0.752754015,0.769073679,0.770033462,0.757546953,0.341778555,0.776582312,0.801591334,1,0.308501896,0.756018366,0.775766652,0.757546953,0.309446427,0.359903145,0.341778555,0.9043592,0.776582312,0.801591334
