group_no,grouping_condition,how_many,id
A1,"high alpha in expert, high alpha in crowd",20,"[CCPL00001c, CCPL00001p, CCPL00002f, CCPL00002g, CCPL00007s, CCPL00008b, CCPL0000ci, CCPL0000eu, CCPL0000ic, CCPL0000ih, CCPL0000m9, CCPL0000o7, CCPL0000ra, CCPL0000vw, CCPL0000vy, CCPL0000yp, CCPL0000zz, CCPL0001j8, CCPL0001ju, CCPL0001mb]"
A2,"high alpha in expert, low alpha in crowd",14,"[CCPL00003c, CCPL0000ib, CCPL0000qx, CCPL0000sk, CCPL0000t6, CCPL0000t8, CCPL0000zj, CCPL00012d, CCPL00015k, CCPL0001g6, CCPL0001gm, CCPL0001hs, CCPL0001ht, CCPL0001le]"
A3,"low alpha in expert, high alpha in crowd",30,"[CCPL00003h, CCPL00003p, CCPL0000am, CCPL0000b1, CCPL0000db, CCPL0000jn, CCPL0000mo, CCPL0000nf, CCPL0000ng, CCPL0000ny, CCPL0000qd, CCPL0000td, CCPL0000te, CCPL0000va, CCPL0000vb, CCPL0000vn, CCPL0000wt, CCPL0000x0, CCPL00011a, CCPL00011j, CCPL00013y, CCPL00014i, CCPL00015x, CCPL0001dt, CCPL0001e5, CCPL0001fp, CCPL0001g1, CCPL0001is, CCPL0001kf, CCPL0001oh]"
A4,"low alpha in expert, low alpha in crowd",24,"[CCPL000037, CCPL00003i, CCPL000081, CCPL0000dr, CCPL0000qz, CCPL0000se, CCPL0000ta, CCPL0000u9, CCPL0000xu, CCPL0000y4, CCPL0000zh, CCPL0000zq, CCPL00010x, CCPL00011i, CCPL00012f, CCPL00015r, CCPL000180, CCPL00018a, CCPL0001b5, CCPL0001d1, CCPL0001d3, CCPL0001jf, CCPL0001nl, CCPL0001ok]"
B1,"(expert) high alpha, voted hard >= 3",10,"[CCPL00002g, CCPL0000ib, CCPL0000ic, CCPL0000ih, CCPL0000ra, CCPL0000t6, CCPL0000t8, CCPL0000vy, CCPL0000yp, CCPL0001g6]"
B2,"(expert) high alpha, voted hard < 3",24,"[CCPL00001c, CCPL00001p, CCPL00002f, CCPL00003c, CCPL00007s, CCPL00008b, CCPL0000ci, CCPL0000eu, CCPL0000m9, CCPL0000o7, CCPL0000qx, CCPL0000sk, CCPL0000vw, CCPL0000zj, CCPL0000zz, CCPL00012d, CCPL00015k, CCPL0001gm, CCPL0001hs, CCPL0001ht, CCPL0001j8, CCPL0001ju, CCPL0001le, CCPL0001mb]"
B3,"(expert) low alpha, voted hard >= 3",19,"[CCPL00003p, CCPL0000am, CCPL0000dr, CCPL0000mo, CCPL0000qz, CCPL0000vb, CCPL0000y4, CCPL0000zh, CCPL00010x, CCPL00011j, CCPL00012f, CCPL00013y, CCPL00015r, CCPL00015x, CCPL000180, CCPL0001b5, CCPL0001dt, CCPL0001fp, CCPL0001jf]"
B4,"(expert) low alpha, voted hard < 3",35,"[CCPL000037, CCPL00003h, CCPL00003i, CCPL000081, CCPL0000b1, CCPL0000db, CCPL0000jn, CCPL0000nf, CCPL0000ng, CCPL0000ny, CCPL0000qd, CCPL0000se, CCPL0000ta, CCPL0000td, CCPL0000te, CCPL0000u9, CCPL0000va, CCPL0000vn, CCPL0000wt, CCPL0000x0, CCPL0000xu, CCPL0000zq, CCPL00011a, CCPL00011i, CCPL00014i, CCPL00018a, CCPL0001d1, CCPL0001d3, CCPL0001e5, CCPL0001g1, CCPL0001is, CCPL0001kf, CCPL0001nl, CCPL0001oh, CCPL0001ok]"
C1,"(crowd) high alpha, voted hard >= 3",34,"[CCPL00001c, CCPL00003h, CCPL00008b, CCPL0000al, CCPL0000am, CCPL0000db, CCPL0000eu, CCPL0000i9, CCPL0000ic, CCPL0000ih, CCPL0000m9, CCPL0000mo, CCPL0000ng, CCPL0000qd, CCPL0000ra, CCPL0000sy, CCPL0000te, CCPL0000u7, CCPL0000va, CCPL0000vn, CCPL0000vy, CCPL0000wt, CCPL0000zz, CCPL00011j, CCPL00013y, CCPL00014i, CCPL00015x, CCPL0001dt, CCPL0001fp, CCPL0001g1, CCPL0001g5, CCPL0001is, CCPL0001jg, CCPL0001kf]"
C2,"(crowd) high alpha, voted hard < 3",38,"[CCPL00001p, CCPL00002f, CCPL00002g, CCPL000038, CCPL00003p, CCPL00007s, CCPL000098, CCPL0000ak, CCPL0000b1, CCPL0000ci, CCPL0000cy, CCPL0000ig, CCPL0000jn, CCPL0000nf, CCPL0000ny, CCPL0000o7, CCPL0000r0, CCPL0000td, CCPL0000u6, CCPL0000vb, CCPL0000vw, CCPL0000x0, CCPL0000yp, CCPL000117, CCPL00011a, CCPL000144, CCPL00014c, CCPL000151, CCPL00015a, CCPL0001e5, CCPL0001fc, CCPL0001fy, CCPL0001j8, CCPL0001ju, CCPL0001mb, CCPL0001mc, CCPL0001oh, CCPL0001oj]"
